database,idno,name,has2025,has2026,sample_file
BS_BTI,BS_BTI_16_RECON,Bertelsmann Transformation Index: Reconciliation,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_16_RECON.json
BS_BTI,BS_BTI_G,Bertelsmann Transformation Index: Governance Index,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_G.json
BS_BTI,BS_BTI_GII,Bertelsmann Transformation Index: Governance Performance,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_GII.json
BS_BTI,BS_BTI_GOV_RANK,Bertelsmann Transformation Index: Ranking Governance Index,0,0,
BS_BTI,BS_BTI_OVERALL_RANK,Bertelsmann Transformation Index: Overall Rank,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_OVERALL_RANK.json
BS_BTI,BS_BTI_OVERALL_SCORE,Bertelsmann Transformation Index: Overall Score,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_OVERALL_SCORE.json
BS_BTI,BS_BTI_Q1,Bertelsmann Transformation Index: Stateness,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q1.json
BS_BTI,BS_BTI_Q10,Bertelsmann Transformation Index: Welfare Regime,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q10.json
BS_BTI,BS_BTI_Q10_1,Bertelsmann Transformation Index: Social safety nets,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q10_1.json
BS_BTI,BS_BTI_Q10_2,Bertelsmann Transformation Index: Equal opportunity,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q10_2.json
BS_BTI,BS_BTI_Q11,Bertelsmann Transformation Index: Economic Performance,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q11.json
BS_BTI,BS_BTI_Q11_1,Bertelsmann Transformation Index: Output strength,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q11_1.json
BS_BTI,BS_BTI_Q12,Bertelsmann Transformation Index: Sustainability,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q12.json
BS_BTI,BS_BTI_Q12_1,Bertelsmann Transformation Index: Environmental policy,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q12_1.json
BS_BTI,BS_BTI_Q12_2,Bertelsmann Transformation Index: Education / R&D policy,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q12_2.json
BS_BTI,BS_BTI_Q13,Bertelsmann Transformation Index: Level of Difficulty,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q13.json
BS_BTI,BS_BTI_Q13_1,Bertelsmann Transformation Index: Structural constraints,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q13_1.json
BS_BTI,BS_BTI_Q13_2,Bertelsmann Transformation Index: Civil society traditions,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q13_2.json
BS_BTI,BS_BTI_Q13_3,Bertelsmann Transformation Index: Conflict intensity,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q13_3.json
BS_BTI,BS_BTI_Q13_4,Bertelsmann Transformation Index: GNI p.c. Atlas method rescaled,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q13_4.json
BS_BTI,BS_BTI_Q13_5,Bertelsmann Transformation Index: UN Educ. Index rescaled,0,1,exports/data360/nepal_summary/samples/BS_BTI_BS_BTI_Q13_5.json
